window_id,start_cycle,end_cycle,start_inst,end_inst,hit_sram_rd,hit_sram_wr,hit_mram_rd,hit_mram_wr,miss_rd,miss_wr,sum_lat_miss,cover_time_miss,mlp_miss,sum_inflight_hits,hit_cover_cycles,mlp_hit
0,1,200001,0,0,0,0,0,0,394,0,812,599,1.355593,0,0,1.000000
1,200001,400001,0,0,0,0,0,0,13,0,25,25,1.000000,0,0,1.000000
2,400001,600001,0,0,0,0,0,0,875,0,1779,1304,1.364264,0,0,1.000000
3,600001,800001,0,0,0,0,0,0,138,0,23888,19547,1.222080,0,0,1.000000
4,800001,1000001,0,0,0,0,0,0,64,0,11024,9179,1.201002,0,0,1.000000
5,1000001,1200001,0,0,0,0,0,0,67,0,11131,9373,1.187560,0,0,1.000000
6,1200001,1400001,0,0,0,0,0,0,61,0,11037,9541,1.156797,0,0,1.000000
7,1400001,1600001,0,0,0,0,0,0,83,0,14461,11963,1.208810,0,0,1.000000
8,1600001,1800001,0,0,0,0,0,0,7,0,995,981,1.014271,0,0,1.000000
9,1800001,2000001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
10,2000001,2200001,0,0,0,0,0,0,299,0,51667,44434,1.162781,0,0,1.000000
11,2200001,2400001,0,0,0,0,0,0,3,0,425,425,1.000000,0,0,1.000000
12,2400001,2600001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
13,2600001,2800001,0,0,0,0,0,0,202,0,35031,29277,1.196537,0,0,1.000000
