window_id,start_cycle,end_cycle,win_cycles,A,M,miss_rate,acc_per_1kcyc,read_frac,mram_hit_frac,mlp_hit,mlp_miss,stall_per_1kcyc,mpkc,std5,std5_norm,wave_done
0,1,200001,200000.0,394,394,1.0,1.97,1.0,0.0,1.0,1.355593,174.9699209128404,1.97,1.7743287463150677,1.1956393169239001,1
1,200001,400001,200000.0,13,13,1.0,0.065,1.0,0.0,1.0,1.0,7.8260000000000005,0.065,1.7743287463150677,1.1956393169239001,1
2,400001,600001,200000.0,875,875,1.0,4.375,1.0,0.0,1.0,1.364264,386.1056217858128,4.375,1.7743287463150677,1.1956393169239001,1
3,600001,800001,200000.0,138,138,1.0,0.69,1.0,0.0,1.0,1.22208,67.97918303220739,0.69,1.8126175823929327,1.5666530530621716,1
4,800001,1000001,200000.0,64,64,1.0,0.32,1.0,0.0,1.0,1.201002,32.07987996689431,0.32,1.779343277729174,1.476633425501389,1
5,1000001,1200001,200000.0,67,67,1.0,0.335,1.0,0.0,1.0,1.18756,33.963757620667586,0.335,0.16056929968085598,0.38878765055897335,1
6,1200001,1400001,200000.0,61,61,1.0,0.305,1.0,0.0,1.0,1.156797,31.744549821619525,0.305,0.14446452851825103,0.5122855621214576,1
7,1400001,1600001,200000.0,83,83,1.0,0.415,1.0,0.0,1.0,1.20881,41.33486652162044,0.415,0.18780308836651377,0.8614820567271275,1
8,1600001,1800001,200000.0,7,7,1.0,0.035,1.0,0.0,1.0,1.014271,4.15470815985077,0.035,0.6101229384312645,1.3558287520694767,1
9,1800001,2000001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.640386601983521,1.6336392907742883,0
10,2000001,2200001,200000.0,299,299,1.0,1.495,1.0,0.0,1.0,1.162781,154.79957102842235,1.495,0.6631496814445443,2.146115473930564,1
11,2200001,2400001,200000.0,3,3,1.0,0.015,1.0,0.0,1.0,1.0,1.8060000000000003,0.015,0.7044980482584751,1.3978135878144347,1
12,2400001,2600001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.7044980482584751,1.3978135878144347,0
13,2600001,2800001,200000.0,202,202,1.0,1.01,1.0,0.0,1.0,1.196537,101.62995377493552,1.01,0.7044980482584751,1.3978135878144347,1
