window_id,start_cycle,end_cycle,start_inst,end_inst,hit_sram_rd,hit_sram_wr,hit_mram_rd,hit_mram_wr,miss_rd,miss_wr,sum_lat_miss,cover_time_miss,mlp_miss,sum_inflight_hits,hit_cover_cycles,mlp_hit
0,1,200001,0,0,3,0,4,5,10264,0,20481,17277,1.185449,0,0,1.000000
1,200001,400001,0,0,17,0,4,16,10426,0,20948,17648,1.186990,0,0,1.000000
2,400001,600001,0,0,15,0,4,16,10327,0,20428,17295,1.181151,0,0,1.000000
3,600001,800001,0,0,1,0,1,6,6159,0,71470,69257,1.031953,0,0,1.000000
4,800001,1000001,0,0,0,0,2,1,936,0,127345,126909,1.003436,30,30,1.000000
5,1000001,1200001,0,0,2,0,1,0,932,0,131365,130419,1.007254,30,30,1.000000
6,1200001,1400001,0,0,0,0,0,2,960,0,132042,131764,1.002110,20,20,1.000000
7,1400001,1600001,0,0,0,1,1,0,973,0,126285,125699,1.004662,20,20,1.000000
8,1600001,1800001,0,0,0,4,0,0,943,0,130667,129645,1.007883,40,40,1.000000
9,1800001,2000001,0,0,0,1,1,0,951,0,131991,131582,1.003108,20,20,1.000000
10,2000001,2200001,0,0,0,0,1,1,928,0,130293,129754,1.004154,20,20,1.000000
11,2200001,2400001,0,0,0,0,1,0,918,0,130585,129749,1.006443,10,10,1.000000
12,2400001,2600001,0,0,0,0,0,0,1009,0,127742,126854,1.007000,0,0,1.000000
13,2600001,2800001,0,0,0,0,0,0,928,0,131035,130450,1.004484,0,0,1.000000
14,2800001,3000001,0,0,0,0,0,5,930,0,130044,129252,1.006128,50,50,1.000000
15,3000001,3200001,0,0,0,0,0,1,971,0,129211,128440,1.006003,10,10,1.000000
16,3200001,3400001,0,0,0,0,0,1,944,0,129251,128913,1.002622,10,10,1.000000
17,3400001,3600001,0,0,0,0,3,2,908,0,131740,130840,1.006879,50,50,1.000000
18,3600001,3800001,0,0,0,0,2,0,924,0,133670,133392,1.002084,20,20,1.000000
19,3800001,4000001,0,0,1,0,1,0,912,0,131888,131044,1.006441,20,20,1.000000
20,4000001,4200001,0,0,0,0,0,0,891,0,133454,131655,1.013665,0,0,1.000000
21,4200001,4400001,0,0,3,7,0,0,942,0,132652,132047,1.004582,100,100,1.000000
22,4400001,4600001,0,0,0,0,0,0,922,0,129808,129235,1.004434,0,0,1.000000
23,4600001,4800001,0,0,1,1,0,0,935,0,131184,130530,1.005010,20,20,1.000000
24,4800001,5000001,0,0,0,0,1,0,1011,0,127285,126967,1.002505,10,10,1.000000
25,5000001,5200001,0,0,0,1,0,0,954,0,127793,126842,1.007498,10,10,1.000000
26,5200001,5400001,0,0,1,1,0,0,928,0,131847,130329,1.011647,20,20,1.000000
27,5400001,5600001,0,0,0,5,0,0,962,0,131758,130865,1.006824,50,50,1.000000
28,5600001,5800001,0,0,0,0,0,0,868,0,133095,132558,1.004051,0,0,1.000000
29,5800001,6000001,0,0,1,0,0,1,977,0,128046,127162,1.006952,20,20,1.000000
30,6000001,6200001,0,0,2,0,1,0,970,0,131699,130182,1.011653,30,30,1.000000
31,6200001,6400001,0,0,2,0,0,0,988,0,126304,125303,1.007989,20,20,1.000000
32,6400001,6600001,0,0,0,2,0,0,927,0,130259,129785,1.003652,20,20,1.000000
33,6600001,6800001,0,0,0,1,0,0,991,0,127678,126989,1.005426,10,10,1.000000
34,6800001,7000001,0,0,0,0,0,4,948,0,130236,129902,1.002571,40,40,1.000000
35,7000001,7200001,0,0,0,0,0,0,920,0,131137,130600,1.004112,0,0,1.000000
36,7200001,7400001,0,0,1,0,0,1,978,0,127407,126602,1.006359,20,20,1.000000
37,7400001,7600001,0,0,0,0,0,4,959,0,132151,131828,1.002450,40,40,1.000000
38,7600001,7800001,0,0,0,0,0,1,977,0,125340,125106,1.001870,10,10,1.000000
39,7800001,8000001,0,0,1,0,0,0,920,0,131099,130169,1.007145,10,10,1.000000
40,8000001,8200001,0,0,0,0,0,1,1004,0,127354,126978,1.002961,10,10,1.000000
41,8200001,8400001,0,0,0,0,0,0,988,0,126293,125772,1.004142,0,0,1.000000
42,8400001,8600001,0,0,1,0,0,0,919,0,131179,130708,1.003603,10,10,1.000000
43,8600001,8800001,0,0,1,0,0,0,957,0,129888,129207,1.005271,10,10,1.000000
44,8800001,9000001,0,0,2,0,0,2,977,0,130298,129069,1.009522,40,40,1.000000
45,9000001,9200001,0,0,1,0,1,0,939,0,128185,127517,1.005239,20,20,1.000000
46,9200001,9400001,0,0,3,0,1,0,955,0,129484,128729,1.005865,40,40,1.000000
47,9400001,9600001,0,0,1,0,0,1,995,0,129803,129116,1.005321,20,20,1.000000
48,9600001,9800001,0,0,0,2,0,0,915,0,129985,129366,1.004785,20,20,1.000000
49,9800001,10000001,0,0,0,0,0,0,927,0,131073,130236,1.006427,0,0,1.000000
50,10000001,10200001,0,0,0,0,0,1,1018,0,127437,126661,1.006127,10,10,1.000000
51,10200001,10400001,0,0,1,0,2,0,896,0,132261,131703,1.004237,30,30,1.000000
52,10400001,10600001,0,0,1,0,0,0,935,0,130587,129641,1.007297,10,10,1.000000
53,10600001,10800001,0,0,2,0,0,0,1003,0,127095,126376,1.005689,20,20,1.000000
54,10800001,11000001,0,0,1,0,0,0,922,0,132076,131447,1.004785,10,10,1.000000
55,11000001,11200001,0,0,2,0,0,1,931,0,130008,128871,1.008823,30,30,1.000000
56,11200001,11400001,0,0,2,0,0,0,960,0,130590,129828,1.005869,20,20,1.000000
57,11400001,11600001,0,0,1,0,0,0,986,0,127470,126932,1.004238,10,10,1.000000
58,11600001,11800001,0,0,2,0,0,0,938,0,128411,127837,1.004490,20,20,1.000000
59,11800001,12000001,0,0,1,0,2,0,957,0,128816,128386,1.003349,30,30,1.000000
60,12000001,12200001,0,0,1,0,1,4,938,0,133682,133106,1.004327,60,60,1.000000
61,12200001,12400001,0,0,0,0,0,3,888,0,133090,131951,1.008632,30,30,1.000000
62,12400001,12600001,0,0,0,1,0,1,983,0,127055,126306,1.005930,20,20,1.000000
63,12600001,12800001,0,0,2,0,0,7,960,0,132171,131415,1.005753,90,90,1.000000
