window_id,start_cycle,end_cycle,win_cycles,A,M,miss_rate,acc_per_1kcyc,read_frac,mram_hit_frac,mlp_hit,mlp_miss,stall_per_1kcyc,mpkc,std5,std5_norm,wave_done
0,1,200001,200000.0,10276,10264,0.9988322304398599,51.38,0.9995134293499416,0.75,1.0,1.185449,5213.650272310323,51.32,20.766946272863517,0.5448925869244206,1
1,200001,400001,200000.0,10463,10426,0.9964637293319316,52.315,0.9984708018732678,0.5405405405405406,1.0,1.18699,5291.4641929586605,52.13,20.766946272863517,0.5448925869244206,1
2,400001,600001,200000.0,10362,10327,0.9966222736923374,51.81,0.9984558965450685,0.5714285714285714,1.0,1.181151,5267.146307085208,51.635,20.766946272863517,0.5448925869244206,1
3,600001,800001,200000.0,6167,6159,0.9987027728230906,30.835,0.999027079617318,0.875,1.0,1.031953,3594.29363075644,30.795,23.63375842941617,0.8211868807997279,1
4,800001,1000001,200000.0,939,936,0.9968051118210862,4.695,0.9989350372736954,1.0,1.0,1.003436,561.8825398331334,4.68,21.307336001950116,1.1032067931008656,1
5,1000001,1200001,200000.0,935,932,0.9967914438502674,4.675,1.0,0.3333333333333333,1.0,1.007254,557.0833526002378,4.66,11.647427291037255,1.1694204107467123,1
6,1200001,1400001,200000.0,962,960,0.997920997920998,4.81,0.997920997920998,1.0,1.0,1.00211,577.1431563401223,4.8,0.08626992523098286,0.0181850601245748,1
7,1400001,1600001,200000.0,975,973,0.997948717948718,4.875,0.9989743589743589,0.5,1.0,1.004662,583.0879238191552,4.865,0.07853343236711105,0.016502087070206145,1
8,1600001,1800001,200000.0,947,943,0.9957761351636748,4.735,0.9957761351636748,0.0,1.0,1.007883,563.2459323155565,4.715,0.08507349763210367,0.01789137699939089,1
9,1800001,2000001,200000.0,953,951,0.9979013641133263,4.765,0.9989506820566632,0.5,1.0,1.003108,570.7881768264234,4.755,0.10645421550769531,0.022587357417291603,1
10,2000001,2200001,200000.0,930,928,0.9978494623655914,4.65,0.9989247311827957,1.0,1.0,1.004154,556.6249431063363,4.64,0.17746126337699583,0.03736813294946216,1
11,2200001,2400001,200000.0,919,918,0.998911860718172,4.595,1.0,1.0,1.0,1.006443,549.1581605515663,4.59,0.18409915806260277,0.03888871103984005,1
12,2400001,2600001,200000.0,1009,1009,1.0,5.045,1.0,0.0,1.0,1.007,603.1956305858988,5.045,0.18706950579760126,0.039692235475833074,1
13,2600001,2800001,200000.0,928,928,1.0,4.64,1.0,0.0,1.0,1.004484,556.1621688349443,4.64,0.1907681839284518,0.040111056334830066,1
14,2800001,3000001,200000.0,935,930,0.9946524064171123,4.675,0.9946524064171123,1.0,1.0,1.006128,557.5500739468538,4.65,0.1702424741342774,0.035600684678853495,1
15,3000001,3200001,200000.0,972,971,0.9989711934156379,4.86,0.9989711934156379,1.0,1.0,1.006003,581.2739332387678,4.855,0.11653325705290352,0.02489494916746497,1
16,3200001,3400001,200000.0,945,944,0.9989417989417989,4.725,0.9989417989417989,1.0,1.0,1.002622,567.0218455609394,4.72,0.11861703081496353,0.025361776954236376,1
17,3400001,3600001,200000.0,913,908,0.9945235487404163,4.565,0.9978094194961665,1.0,1.0,1.006879,543.5015180374206,4.54,0.130019229344577,0.02790711082733998,1
18,3600001,3800001,200000.0,926,924,0.9978401727861771,4.63,1.0,1.0,1.0,1.002084,555.2111899601232,4.62,0.098513958398575,0.021514295348018127,1
19,3800001,4000001,200000.0,914,912,0.9978118161925602,4.57,1.0,0.5,1.0,1.006441,545.5703677215058,4.56,0.09497368056128062,0.020750203312493037,1
