window_id,start_cycle,end_cycle,win_cycles,A,M,miss_rate,acc_per_1kcyc,read_frac,mram_hit_frac,mlp_hit,mlp_miss,stall_per_1kcyc,mpkc,std5,std5_norm,wave_done
0,1,200001,200000.0,9488,9373,0.9878794266441822,47.44,0.9901981450252951,0.30434782608695654,1.0,1.209728,4671.049662998625,46.865,29.61994442094718,1.193053708500712,1
1,200001,400001,200000.0,17456,13107,0.7508593033913841,87.28,0.9585815765352887,0.4743619222809841,1.0,1.200929,6731.798524858672,65.535,29.61994442094718,1.193053708500712,1
2,400001,600001,200000.0,2918,383,0.13125428375599726,14.59,0.9599040438656614,0.4891518737672584,1.0,1.042336,302.801224940902,1.915,29.61994442094718,1.193053708500712,1
3,600001,800001,200000.0,15568,1964,0.1261562178828366,77.84,0.9570914696813977,0.48647456630402824,1.40625,1.018513,1470.7396391231357,9.82,28.272845054928595,1.8268832421122119,1
4,800001,1000001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.032881104124016,1.3768798580143433,0
5,1000001,1200001,200000.0,186,22,0.11827956989247312,0.93,0.9838709677419355,0.4878048780487805,1.121751,1.0,17.950926938331236,0.11,4.232951688833756,1.6573812407336537,1
6,1200001,1400001,200000.0,3784,560,0.14799154334038056,18.92,0.9590380549682875,0.5127171215880894,1.324623,1.188953,368.32242731063997,2.8,1.2277214667833154,2.02929168063357,1
7,1400001,1600001,200000.0,61,8,0.13114754098360656,0.305,0.9672131147540983,0.37735849056603776,1.097308,1.0,6.2012081639794845,0.04,2.2615492477504358,1.3968803259730895,1
8,1600001,1800001,200000.0,72,15,0.20833333333333334,0.36,0.9722222222222222,0.40350877192982454,1.057514,1.0,10.48624549651352,0.075,3.1937391878487107,1.0392903312231396,1
9,1800001,2000001,200000.0,1051,1014,0.9647954329210275,5.255,0.9657469077069457,0.4864864864864865,1.0,1.949305,317.11161044577426,5.07,3.8323367545142126,0.9367726117121021,1
10,2000001,2200001,200000.0,1548,1476,0.9534883720930233,7.74,0.9541343669250646,0.4027777777777778,1.0,2.105197,428.29546372144745,7.38,3.2605973379122584,0.5857009768119735,1
11,2200001,2400001,200000.0,1671,1578,0.9443447037701975,8.355,0.9443447037701975,0.3548387096774194,1.0,2.159869,447.08111878081496,7.89,1.1718766999989743,0.16452010388866684,1
12,2400001,2600001,200000.0,1569,1484,0.9458253664754621,7.845,0.9483747609942639,0.3058823529411765,1.0,2.03334,444.59987095124285,7.42,0.4704598813931716,0.06017650056193034,1
13,2600001,2800001,200000.0,1654,1571,0.9498186215235792,8.27,0.9510278113663845,0.40963855421686746,1.0,2.129664,451.4003807548985,7.855,0.6377244702851483,0.0782580034709962,1
14,2800001,3000001,200000.0,1807,1709,0.9457664637520753,9.035,0.9496402877697842,0.35714285714285715,1.0,2.25683,463.08862989237116,8.545,0.7391769071071349,0.08807064304862798,1
15,3000001,3200001,200000.0,1896,1807,0.9530590717299579,9.48,0.9657172995780591,0.3595505617977528,1.0,2.327858,473.062558833056,9.035,0.5439600169134384,0.06368809470945301,1
16,3200001,3400001,200000.0,1888,1822,0.965042372881356,9.44,0.9761652542372882,0.5151515151515151,1.0,2.347266,473.0057699127411,9.11,0.43564033330313634,0.05052659862017353,1
17,3400001,3600001,200000.0,1710,1632,0.9543859649122807,8.55,0.9690058479532164,0.5897435897435898,1.0,2.198858,454.3664786357282,8.16,0.5403424839862856,0.06359214828601688,1
18,3600001,3800001,200000.0,1739,1652,0.9499712478435882,8.695,0.9677975848188615,0.4827586206896552,1.002304,2.199204,458.3966388861222,8.26,0.528223437572087,0.06412034930469614,1
