window_id,start_cycle,end_cycle,start_inst,end_inst,hit_sram_rd,hit_sram_wr,hit_mram_rd,hit_mram_wr,miss_rd,miss_wr,sum_lat_miss,cover_time_miss,mlp_miss,sum_inflight_hits,hit_cover_cycles,mlp_hit
0,1,200001,0,0,253,7586,131,6899,28349,0,58993,46397,1.271483,0,0,1.000000
1,200001,400001,0,0,301,6627,273,6300,25299,0,52574,42627,1.233350,0,0,1.000000
2,400001,600001,0,0,195,5312,377,6229,27581,0,57560,46171,1.246670,0,0,1.000000
3,600001,800001,0,0,266,4381,332,4754,18957,0,695466,92819,7.492712,7380,7285,1.013040
4,800001,1000001,0,0,47,1086,15,856,4327,0,2035481,188705,10.786577,20040,19874,1.008353
5,1000001,1200001,0,0,36,1332,4,854,4517,0,2231912,192103,11.618309,22260,22115,1.006557
6,1200001,1400001,0,0,61,1013,64,927,4444,0,2241211,192070,11.668720,20650,20244,1.020055
7,1400001,1600001,0,0,122,1101,267,973,4366,0,2289351,193691,11.819604,24629,23321,1.056087
8,1600001,1800001,0,0,55,860,1,1079,4287,0,2079276,190906,10.891622,219950,200000,1.099750
9,1800001,2000001,0,0,44,1027,50,950,4022,0,1759461,184038,9.560314,220710,200000,1.103550
10,2000001,2200001,0,0,24,982,2,688,3653,0,1400391,182145,7.688331,216960,200000,1.084800
11,2200001,2400001,0,0,42,760,30,908,3481,0,1193321,179130,6.661760,217400,200000,1.087000
12,2400001,2600001,0,0,31,814,37,1049,4094,0,1788173,184624,9.685485,219310,200000,1.096550
13,2600001,2800001,0,0,89,645,29,1142,4106,0,1964820,189243,10.382524,219042,200000,1.095210
14,2800001,3000001,0,0,0,727,4,835,3586,0,1477358,182944,8.075466,415660,200000,2.078300
15,3000001,3200001,0,0,39,1014,73,1089,4129,0,1719295,184538,9.316753,422150,200000,2.110750
16,3200001,3400001,0,0,141,1263,178,810,4225,0,2040696,188827,10.807226,423920,200000,2.119600
17,3400001,3600001,0,0,93,968,71,928,4344,0,2074277,192163,10.794362,420600,200000,2.103000
18,3600001,3800001,0,0,32,922,29,1222,4358,0,2112955,188860,11.187943,422050,200000,2.110250
19,3800001,4000001,0,0,43,914,114,857,4402,0,2241432,191672,11.694102,419280,200000,2.096400
