window_id,start_cycle,end_cycle,win_cycles,A,M,miss_rate,acc_per_1kcyc,read_frac,mram_hit_frac,mlp_hit,mlp_miss,stall_per_1kcyc,mpkc,std5,std5_norm,wave_done
0,1,200001,200000.0,6922,6775,0.9787633631898295,34.61,0.9823750361167293,0.5306122448979592,1.0,1.215125,3371.405958234749,33.875,3.669700260239247,0.13286387618534565,1
1,200001,400001,200000.0,6558,5370,0.818847209515096,32.79,0.8459896309850564,0.48737373737373735,1.0,1.136436,2956.650053958164,26.85,3.669700260239247,0.13286387618534565,1
2,400001,600001,200000.0,8314,5449,0.6554005292278086,41.57,0.7711089728169352,0.4827225130890052,1.0,1.119271,3160.9251010523817,27.245,3.669700260239247,0.13286387618534565,1
3,600001,800001,200000.0,8937,5151,0.5763679086941926,44.685,0.7547275372048786,0.49101954569466455,1.0,1.114226,3067.669910018255,25.755,1.136392317819857,0.043783175412053815,1
4,800001,1000001,200000.0,8612,4875,0.5660705991639573,43.06,0.7668369716674408,0.5065560610115065,1.0,1.127339,2875.074211909638,24.375,4.165784739997973,0.17411848443042727,1
5,1000001,1200001,200000.0,8276,5110,0.6174480425326244,41.38,0.7745287578540357,0.5138976626658244,1.0,1.123889,2992.980836666254,25.55,9.120070312228956,0.47076190121452305,1
6,1200001,1400001,200000.0,6262,3340,0.5333759182369849,31.31,0.7941552219738103,0.5037645448323066,1.036765,1.267996,1770.4432396677034,16.7,10.441269678540054,0.6960846452360034,1
7,1400001,1600001,200000.0,1349,897,0.6649369903632321,6.745,0.8109710896960711,0.4756637168141593,1.013453,1.395305,417.57661698889484,4.485,9.888215208014028,0.9109364539856313,1
8,1600001,1800001,200000.0,1218,778,0.638752052545156,6.09,0.7996715927750411,0.47954545454545455,1.035051,1.243795,407.0259425624987,3.89,5.733587009891788,0.8871401841082761,1
9,1800001,2000001,200000.0,1155,730,0.6320346320346321,5.775,0.793939393939394,0.56,1.032054,1.278008,378.9389462260871,3.65,0.4803176032583404,0.11862622950317124,1
10,2000001,2200001,200000.0,1585,718,0.4529968454258675,7.925,0.8037854889589905,0.5397923875432526,1.058867,1.309423,380.18781551258775,3.59,0.48726276278804265,0.1201634433509353,1
11,2200001,2400001,200000.0,1526,926,0.6068152031454783,7.63,0.8053735255570118,0.48333333333333334,1.022495,1.444314,425.66995876713867,4.63,0.5327100524674163,0.12680553498391248,1
12,2400001,2600001,200000.0,1367,903,0.6605705925384052,6.835,0.8163862472567667,0.48060344827586204,1.011334,1.386931,424.9547534488899,4.515,0.4796691568152344,0.11291646817684428,1
13,2600001,2800001,200000.0,1384,924,0.6676300578034682,6.92,0.7976878612716763,0.508695652173913,1.00833,1.414052,430.30402582426524,4.62,0.4779565879866475,0.11248684113594905,1
14,2800001,3000001,200000.0,1230,777,0.6317073170731707,6.15,0.8056910569105691,0.5364238410596026,1.037801,1.247535,407.8005239000984,3.885,0.5690166957127325,0.1427538122711321,1
15,3000001,3200001,200000.0,1585,719,0.45362776025236595,7.925,0.8182965299684543,0.5173210161662818,1.072446,1.351977,367.4456525906347,3.595,0.4967846615988012,0.1304581569324583,1
16,3200001,3400001,200000.0,1043,663,0.6356663470757431,5.215,0.8139980824544583,0.48947368421052634,1.044817,1.211426,353.77839366058697,3.315,0.383835902437272,0.1023289529291581,1
17,3400001,3600001,200000.0,1217,725,0.5957271980279375,6.085,0.8348397699260477,0.483739837398374,1.051057,1.385418,345.0581915213162,3.625,0.4212125354258052,0.11078709506202135,1
18,3600001,3800001,200000.0,1388,867,0.6246397694524496,6.94,0.8141210374639769,0.4856046065259117,1.021969,1.374116,414.09974567279744,4.335,0.4060880446403657,0.10501371725895156,1
19,3800001,4000001,200000.0,1296,828,0.6388888888888888,6.48,0.8371913580246914,0.5427350427350427,1.033341,1.28929,419.9415718626853,4.14,0.44642188566403995,0.10715839790303408,1
20,4000001,4200001,200000.0,1144,784,0.6853146853146853,5.72,0.8216783216783217,0.4777777777777778,1.035673,1.280966,393.2424088591053,3.92,0.3306319706257062,0.07717833114512283,1
21,4200001,4400001,200000.0,1521,962,0.6324786324786325,7.605,0.8073635765943459,0.4883720930232558,1.026253,1.446006,439.0665174854823,4.81,0.5017295087991503,0.12231338586034869,1
22,4400001,4600001,200000.0,1291,843,0.6529821843532145,6.455,0.8210689388071263,0.5379464285714286,1.033687,1.328103,414.52169832841787,4.215,0.5381101188417072,0.1343595802351329,1
