window_id,start_cycle,end_cycle,win_cycles,A,M,miss_rate,acc_per_1kcyc,read_frac,mram_hit_frac,mlp_hit,mlp_miss,stall_per_1kcyc,mpkc,std5,std5_norm,wave_done
0,1,200001,200000.0,13706,13110,0.9565153947176419,68.53,0.956661316211878,0.313758389261745,1.0,1.175712,6753.535358863395,65.55,29.649046063912404,0.6210134692816204,1
1,200001,400001,200000.0,14885,13209,0.8874034262680551,74.425,0.8875377897211958,0.3967780429594272,1.0,1.178053,6896.106257884832,66.045,29.649046063912404,0.6210134692816204,1
2,400001,600001,200000.0,18149,14999,0.826436718276489,90.745,0.8264918177310044,0.4038095238095238,1.0,1.164816,8031.460538728864,74.995,29.649046063912404,0.6210134692816204,1
3,600001,800001,200000.0,6303,4724,0.7494843725210217,31.515,0.777724892908139,0.4344521849271691,1.013817,2.474847,1277.6049842146413,23.62,32.12874639633485,0.8878287387071638,1
4,800001,1000001,200000.0,2640,1701,0.6443181818181818,13.2,0.7424242424242424,0.6443024494142705,1.006647,2.32833,548.6574904293577,8.505,29.124548708949973,1.1948532803671783,1
5,1000001,1200001,200000.0,2553,1555,0.609087348217783,12.765,0.7583235409322366,0.5681362725450901,1.03014,2.177408,508.91839814903165,7.775,7.11163395430328,0.6503551855787179,1
6,1200001,1400001,200000.0,2626,1396,0.5316070068545317,13.13,0.715917745620716,0.7056910569105691,1.019998,2.042906,534.5867887950373,6.98,1.2088320809770385,0.16604836277157123,1
7,1400001,1600001,200000.0,2646,1559,0.5891912320483749,13.23,0.7520786092214664,0.5124195032198712,1.05435,2.118075,522.7504823208802,7.795,1.5701011113935528,0.24414571783448186,1
8,1600001,1800001,200000.0,1529,1069,0.6991497710922171,7.645,0.7645519947678221,0.2891304347826087,1.023,2.371288,299.52047517783564,5.345,1.668153919756586,0.293947827269883,1
9,1800001,2000001,200000.0,1144,852,0.7447552447552448,5.72,0.7447552447552448,0.4417808219178082,1.0146,2.49086,233.88603756029858,4.26,1.5842640247128181,0.30936614425167314,1
10,2000001,2200001,200000.0,1055,799,0.7573459715639811,5.275,0.7573459715639811,0.19140625,1.0128,2.330894,217.00149214286722,3.995,0.5350163548895024,0.12142904105526607,1
11,2200001,2400001,200000.0,1105,842,0.7619909502262443,5.525,0.7619909502262443,0.18631178707224336,1.01315,2.62741,203.5616292234071,4.21,0.10529719843969229,0.025190717330069928,1
12,2400001,2600001,200000.0,1242,844,0.679549114331723,6.21,0.679549114331723,0.6331658291457286,1.0199,2.554241,253.27763628899945,4.22,0.12193235829445512,0.0295521954179484,1
13,2600001,2800001,200000.0,1134,843,0.7433862433862434,5.67,0.7433862433862434,0.6804123711340206,1.01455,2.611662,237.25063553086287,4.215,0.1167797071380446,0.028275958144804988,1
14,2800001,3000001,200000.0,1036,798,0.7702702702702703,5.18,0.7702702702702703,0.5756302521008403,1.0119,2.296887,238.93645922522816,3.99,0.10796990321032666,0.026257272181499675,1
15,3000001,3200001,200000.0,1006,803,0.7982107355864811,5.03,0.7982107355864811,0.45320197044334976,1.01015,2.379596,223.18287657829396,4.015,0.08962421547353744,0.021950579346935447,1
16,3200001,3400001,200000.0,988,824,0.8340080971659919,4.94,0.8340080971659919,0.23780487804878048,1.0082,2.486819,207.98110654907353,4.12,0.10095791201905462,0.024690122773063,1
17,3400001,3600001,200000.0,930,815,0.8763440860215054,4.65,0.8774193548387097,0.7217391304347827,1.00575,2.420734,220.6747159620797,4.075,0.0894846355484982,0.021682732141627865,1
18,3600001,3800001,200000.0,898,849,0.9454342984409799,4.49,0.9454342984409799,0.7346938775510204,1.00245,2.527944,210.07996385159632,4.245,0.06490377492294123,0.015601868971860873,1
19,3800001,4000001,200000.0,891,836,0.9382716049382716,4.455,0.9382716049382716,0.4909090909090909,1.00275,2.59332,199.9884607736388,4.18,0.06238990302322933,0.014940110877210089,1
20,4000001,4200001,200000.0,868,836,0.9631336405529954,4.34,0.9631336405529954,0.84375,1.0016,2.557107,202.74355029232188,4.18,0.03232645973885961,0.0077096255041401406,1
21,4200001,4400001,200000.0,852,840,0.9859154929577465,4.26,0.9859154929577465,0.75,1.0006,2.632185,194.09296882222046,4.2,0.030331501763811435,0.007235568168848148,1
22,4400001,4600001,200000.0,848,832,0.9811320754716981,4.24,0.9811320754716981,0.9375,1.0008,2.644654,192.68470729799984,4.16,0.046421977545640807,0.011108393765408184,1
23,4600001,4800001,200000.0,881,848,0.9625425652667423,4.405,0.9625425652667423,0.24242424242424243,1.00165,2.56679,200.64208942710974,4.24,0.08296083412820573,0.02000020109166001,1
24,4800001,5000001,200000.0,824,823,0.9987864077669902,4.12,0.9987864077669902,0.0,1.00005,2.488439,199.0991139425158,4.115,0.10870832534469123,0.026507760386415804,1
25,5000001,5200001,200000.0,805,805,1.0,4.025,1.0,0.0,1.0,2.277753,212.75792414717486,4.025,0.10424730211975296,0.025544548424345247,1
26,5200001,5400001,200000.0,811,793,0.9778051787916153,4.055,0.9778051787916153,0.0,1.0009,2.276171,209.73204561520205,3.965,0.10424730211975296,0.025544548424345247,1
27,5400001,5600001,200000.0,819,812,0.9914529914529915,4.095,0.9914529914529915,0.0,1.00035,2.369023,206.3399131203032,4.06,0.10424730211975296,0.025544548424345247,1
