window_id,start_cycle,end_cycle,start_inst,end_inst,hit_sram_rd,hit_sram_wr,hit_mram_rd,hit_mram_wr,miss_rd,miss_wr,sum_lat_miss,cover_time_miss,mlp_miss,sum_inflight_hits,hit_cover_cycles,mlp_hit
0,1,200001,0,0,584,102,457,45,7399,0,15737,11096,1.418259,0,0,1.000000
1,200001,400001,0,0,993,144,735,104,1465,0,2714,2689,1.009297,0,0,1.000000
2,400001,600001,0,0,843,232,668,248,1492,0,2734,2713,1.007741,0,0,1.000000
3,600001,800001,0,0,236,99,176,96,447,0,71931,23764,3.026889,5920,5488,1.078717
4,800001,1000001,0,0,258,152,210,105,422,0,74437,22089,3.369867,7250,6751,1.073915
5,1000001,1200001,0,0,274,94,214,178,409,0,75510,24440,3.089607,7600,7146,1.063532
6,1200001,1400001,0,0,263,132,210,112,391,0,68391,21524,3.177430,7163,6836,1.047835
7,1400001,1600001,0,0,262,119,190,159,395,0,73910,21913,3.372884,207300,200000,1.036500
8,1600001,1800001,0,0,270,158,192,178,408,0,70505,24878,2.834030,207974,200000,1.039870
9,1800001,2000001,0,0,265,179,191,158,396,0,76013,22955,3.311392,407930,200000,2.039650
10,2000001,2200001,0,0,223,134,182,176,409,0,75128,23562,3.188524,407150,200000,2.035750
11,2200001,2400001,0,0,236,146,167,234,432,0,80486,23709,3.394745,407830,200000,2.039150
12,2400001,2600001,0,0,226,150,180,194,406,0,69790,23305,2.994636,407500,200000,2.037500
13,2600001,2800001,0,0,249,165,191,222,437,0,85989,24645,3.489105,408270,200000,2.041350
14,2800001,3000001,0,0,242,173,186,188,401,0,69052,22706,3.041135,407890,200000,2.039450
15,3000001,3200001,0,0,261,192,190,168,416,0,75046,25358,2.959461,408110,200000,2.040550
16,3200001,3400001,0,0,264,183,195,152,398,0,73965,22222,3.328458,407934,200000,2.039670
17,3400001,3600001,0,0,257,173,218,227,437,0,80332,24222,3.316489,608750,200000,3.043750
18,3600001,3800001,0,0,209,147,162,219,397,0,67864,22471,3.020070,607370,200000,3.036850
19,3800001,4000001,0,0,249,209,202,182,411,0,77207,24130,3.199627,608420,200000,3.042100
20,4000001,4200001,0,0,233,210,184,195,431,0,76641,22659,3.382365,608220,200000,3.041100
21,4200001,4400001,0,0,256,197,217,190,401,0,76984,23240,3.312565,608600,200000,3.043000
22,4400001,4600001,0,0,266,154,201,223,411,0,70407,23816,2.956290,608440,200000,3.042200
23,4600001,4800001,0,0,272,209,221,201,411,0,80239,24571,3.265598,609030,200000,3.045150
24,4800001,5000001,0,0,270,213,231,208,427,0,75232,25943,2.899896,609220,200000,3.046100
