window_id,start_cycle,end_cycle,win_cycles,A,M,miss_rate,acc_per_1kcyc,read_frac,mram_hit_frac,mlp_hit,mlp_miss,stall_per_1kcyc,mpkc,std5,std5_norm,wave_done
0,1,200001,200000.0,1638,1638,1.0,8.19,1.0,0.0,1.0,1.162172,848.4768175450794,8.19,2.689901485184913,0.6830628453999271,1
1,200001,400001,200000.0,804,804,1.0,4.02,1.0,0.0,1.0,1.02177,473.69564579112716,4.02,2.689901485184913,0.6830628453999271,1
2,400001,600001,200000.0,716,714,0.9972067039106145,3.58,0.9972067039106145,0.0,1.0,1.020867,421.04211420292756,3.57,2.689901485184913,0.6830628453999271,1
3,600001,800001,200000.0,632,630,0.9968354430379747,3.16,0.9968354430379747,0.5,1.0,1.141886,332.35473148808205,3.15,1.5394170974755352,0.6209830970050565,1
4,800001,1000001,200000.0,153,152,0.9934640522875817,0.765,0.9934640522875817,0.0,1.0,1.2096,75.64814814814815,0.76,1.421907169965748,0.7842841533181181,1
5,1000001,1200001,200000.0,179,179,1.0,0.895,1.0,0.0,1.0,1.11038,97.04605630504874,0.895,1.0635941425186592,0.8495160882736895,1
6,1200001,1400001,200000.0,141,138,0.9787234042553191,0.705,0.9858156028368794,0.3333333333333333,1.0,1.116326,74.47912129610886,0.69,0.07766917020286959,0.1012635856621507,1
7,1400001,1600001,200000.0,154,153,0.9935064935064936,0.77,0.9935064935064936,1.0,1.0,1.09088,84.65275154004107,0.765,0.08565920849507264,0.10912001082174858,1
8,1600001,1800001,200000.0,147,145,0.9863945578231292,0.735,0.9863945578231292,0.5,1.0,1.112819,78.6604292162517,0.725,0.07521635460458266,0.09667911902902655,1
9,1800001,2000001,200000.0,172,170,0.9883720930232558,0.86,0.9941860465116279,1.0,1.0,1.121522,91.53099641380197,0.85,0.19411980836587062,0.2198412325774299,1
10,2000001,2200001,200000.0,173,172,0.9942196531791907,0.865,0.9942196531791907,1.0,1.0,1.117034,92.91547748770402,0.86,0.1846956956726451,0.20521743963627231,1
11,2200001,2400001,200000.0,248,243,0.9798387096774194,1.24,0.9838709677419355,0.8,1.0,1.099523,133.76496586246947,1.215,0.16577846663545395,0.1712587465242293,1
12,2400001,2600001,200000.0,178,170,0.9550561797752809,0.89,0.9662921348314607,0.625,1.0,1.139374,90.76125272298647,0.85,0.18174845253812288,0.17442269917286266,1
13,2600001,2800001,200000.0,220,213,0.9681818181818181,1.1,0.9772727272727273,0.42857142857142855,1.129032,1.143059,112.76250813414077,1.065,0.17237314175938867,0.16416489691370353,1
14,2800001,3000001,200000.0,252,244,0.9682539682539683,1.26,0.9801587301587301,0.5,1.0,1.126778,130.9210826622458,1.22,0.14570518178843986,0.1441198632922254,1
15,3000001,3200001,200000.0,190,180,0.9473684210526315,0.95,0.9526315789473684,0.6,1.0,1.147373,95.76182493400141,0.9,0.13538833036861891,0.13286391596527863,1
16,3200001,3400001,200000.0,220,204,0.9272727272727272,1.1,0.9272727272727272,0.5,1.0,1.08819,114.61529181484852,1.02,0.14377065069061307,0.13931264601803592,1
17,3400001,3600001,200000.0,192,178,0.9270833333333334,0.96,0.9479166666666666,0.5,1.0,1.093272,99.394034933667,0.89,0.1297882891481444,0.13705204767491486,1
18,3600001,3800001,200000.0,244,226,0.9262295081967213,1.22,0.9426229508196722,0.3333333333333333,1.0,1.149585,119.18879543487432,1.13,0.17724982369526437,0.17480258747067492,1
19,3800001,4000001,200000.0,167,159,0.9520958083832335,0.835,0.9520958083832335,0.5,1.0,1.078745,89.61088635405031,0.795,0.1890965361925022,0.18147460287188305,1
20,4000001,4200001,200000.0,271,247,0.9114391143911439,1.355,0.922509225092251,0.5,1.0,1.138392,132.9375728571529,1.235,0.18015965142062831,0.1712544215024984,1
21,4200001,4400001,200000.0,267,232,0.8689138576779026,1.335,0.8801498127340824,0.5714285714285714,1.0,1.189174,121.52622738135884,1.16,0.18015965142062831,0.1712544215024984,1
22,4400001,4600001,200000.0,202,188,0.9306930693069307,1.01,0.9504950495049505,0.5,1.0,1.156907,98.88635942214889,0.94,0.18015965142062831,0.1712544215024984,1
