window_id,start_cycle,end_cycle,start_inst,end_inst,hit_sram_rd,hit_sram_wr,hit_mram_rd,hit_mram_wr,miss_rd,miss_wr,sum_lat_miss,cover_time_miss,mlp_miss,sum_inflight_hits,hit_cover_cycles,mlp_hit
0,1,200001,0,0,0,0,0,0,2359,0,4644,3863,1.202174,0,0,1.000000
1,200001,400001,0,0,0,0,0,0,234,0,408,407,1.002457,0,0,1.000000
2,400001,600001,0,0,0,0,0,0,145,0,2064,1811,1.139702,0,0,1.000000
3,600001,800001,0,0,0,0,0,0,74,0,11512,11243,1.023926,0,0,1.000000
4,800001,1000001,0,0,0,0,0,0,59,0,9374,9374,1.000000,0,0,1.000000
5,1000001,1200001,0,0,0,0,0,0,50,0,7267,7135,1.018500,0,0,1.000000
6,1200001,1400001,0,0,0,0,0,0,49,0,7415,7415,1.000000,0,0,1.000000
7,1400001,1600001,0,0,0,0,0,0,32,0,5764,5764,1.000000,0,0,1.000000
8,1600001,1800001,0,0,0,0,0,0,30,0,4786,4653,1.028584,0,0,1.000000
9,1800001,2000001,0,0,0,0,0,0,37,0,6434,6305,1.020460,0,0,1.000000
10,2000001,2200001,0,0,0,0,0,0,13,0,1843,1843,1.000000,0,0,1.000000
11,2200001,2400001,0,0,0,0,0,0,33,0,4795,4795,1.000000,0,0,1.000000
12,2400001,2600001,0,0,0,0,0,0,24,0,3462,3462,1.000000,0,0,1.000000
13,2600001,2800001,0,0,0,0,0,0,18,0,2552,2302,1.108601,0,0,1.000000
14,2800001,3000001,0,0,0,0,0,0,15,0,2699,2699,1.000000,0,0,1.000000
15,3000001,3200001,0,0,0,0,0,0,17,0,2766,2510,1.101992,0,0,1.000000
16,3200001,3400001,0,0,0,0,0,0,27,0,4183,4183,1.000000,0,0,1.000000
17,3400001,3600001,0,0,0,0,0,0,20,0,2952,2952,1.000000,0,0,1.000000
18,3600001,3800001,0,0,0,0,0,0,37,0,5422,5422,1.000000,0,0,1.000000
19,3800001,4000001,0,0,0,0,0,0,21,0,3745,3745,1.000000,0,0,1.000000
20,4000001,4200001,0,0,0,0,0,0,23,0,3697,3697,1.000000,0,0,1.000000
