window_id,start_cycle,end_cycle,win_cycles,A,M,miss_rate,acc_per_1kcyc,read_frac,mram_hit_frac,mlp_hit,mlp_miss,stall_per_1kcyc,mpkc,std5,std5_norm,wave_done
0,1,200001,200000.0,2359,2359,1.0,11.795,1.0,0.0,1.0,1.202174,1181.2915601235761,11.795,5.00068170352803,1.7417909103197595,1
1,200001,400001,200000.0,234,234,1.0,1.17,1.0,0.0,1.0,1.002457,140.52273563853615,1.17,5.00068170352803,1.7417909103197595,1
2,400001,600001,200000.0,145,145,1.0,0.725,1.0,0.0,1.0,1.139702,76.59019638466899,0.725,5.00068170352803,1.7417909103197595,1
3,600001,800001,200000.0,74,74,1.0,0.37,1.0,0.0,1.0,1.023926,43.50705031418287,0.37,0.387856287818059,0.6901357434485035,1
4,800001,1000001,200000.0,59,59,1.0,0.295,1.0,0.0,1.0,1.0,35.518,0.295,0.20089176190178934,0.5328693949649584,1
5,1000001,1200001,200000.0,50,50,1.0,0.25,1.0,0.0,1.0,1.0185,29.553264604810998,0.25,0.07676262111213591,0.29076750421263603,1
6,1200001,1400001,200000.0,49,49,1.0,0.245,1.0,0.0,1.0,1.0,29.498,0.245,0.062549980016027,0.2843180909819409,1
7,1400001,1600001,200000.0,32,32,1.0,0.16,1.0,0.0,1.0,1.0,19.264,0.16,0.0469840398433915,0.2372931305221793,1
8,1600001,1800001,200000.0,30,30,1.0,0.15,1.0,0.0,1.0,1.028584,17.55811873410436,0.15,0.06513447627796999,0.4045619644594409,1
9,1800001,2000001,200000.0,37,37,1.0,0.185,1.0,0.0,1.0,1.02046,21.827411167512693,0.185,0.04650268809440431,0.3207081937545124,1
10,2000001,2200001,200000.0,13,13,1.0,0.065,1.0,0.0,1.0,1.0,7.8260000000000005,0.065,0.04671723450725075,0.3410017117317573,1
11,2200001,2400001,200000.0,33,33,1.0,0.165,1.0,0.0,1.0,1.0,19.866,0.165,0.050124844139463144,0.40099875311570515,1
12,2400001,2600001,200000.0,24,24,1.0,0.12,1.0,0.0,1.0,1.0,14.448000000000002,0.12,0.04040420770174185,0.39227386118195967,1
13,2600001,2800001,200000.0,18,18,1.0,0.09,1.0,0.0,1.0,1.108601,9.774481531227197,0.09,0.03650342449696317,0.34115349997161837,1
14,2800001,3000001,200000.0,15,15,1.0,0.075,1.0,0.0,1.0,1.0,9.03,0.075,0.02534758371138159,0.25096617536021376,1
15,3000001,3200001,200000.0,17,17,1.0,0.085,1.0,0.0,1.0,1.101992,9.286818779083696,0.085,0.023075961518547856,0.23789651050049335,1
16,3200001,3400001,200000.0,27,27,1.0,0.135,1.0,0.0,1.0,1.0,16.254,0.135,0.04477722635453743,0.38601057202187433,1
17,3400001,3600001,200000.0,20,20,1.0,0.1,1.0,0.0,1.0,1.0,12.04,0.1,0.03962322551238698,0.32478053698677845,1
18,3600001,3800001,200000.0,37,37,1.0,0.185,1.0,0.0,1.0,1.0,22.274,0.185,0.0345687720349663,0.2700685315231742,1
19,3800001,4000001,200000.0,21,21,1.0,0.105,1.0,0.0,1.0,1.0,12.642000000000001,0.105,0.0345687720349663,0.2700685315231742,1
20,4000001,4200001,200000.0,23,23,1.0,0.115,1.0,0.0,1.0,1.0,13.846000000000002,0.115,0.0345687720349663,0.2700685315231742,1
