window_id,start_cycle,end_cycle,start_inst,end_inst,hit_sram_rd,hit_sram_wr,hit_mram_rd,hit_mram_wr,miss_rd,miss_wr,sum_lat_miss,cover_time_miss,mlp_miss,sum_inflight_hits,hit_cover_cycles,mlp_hit
0,1,200001,0,0,0,0,0,0,374,0,811,599,1.353923,0,0,1.000000
1,200001,400001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
2,400001,600001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
3,600001,800001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
4,800001,1000001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
5,1000001,1200001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
6,1200001,1400001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
7,1400001,1600001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
8,1600001,1800001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
9,1800001,2000001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
10,2000001,2200001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
11,2200001,2400001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
12,2400001,2600001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
13,2600001,2800001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
14,2800001,3000001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
15,3000001,3200001,0,0,0,0,0,0,0,0,0,0,1.000000,0,0,1.000000
