window_id,start_cycle,end_cycle,win_cycles,A,M,miss_rate,acc_per_1kcyc,read_frac,mram_hit_frac,mlp_hit,mlp_miss,stall_per_1kcyc,mpkc,std5,std5_norm,wave_done
0,1,200001,200000.0,374,374,1.0,1.87,1.0,0.0,1.0,1.353923,166.29306097909557,1.87,0.8362894235849214,2.23606797749979,1
1,200001,400001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8362894235849214,2.23606797749979,0
2,400001,600001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.8362894235849214,2.23606797749979,0
3,600001,800001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
4,800001,1000001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
5,1000001,1200001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
6,1200001,1400001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
7,1400001,1600001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
8,1600001,1800001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
9,1800001,2000001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
10,2000001,2200001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
11,2200001,2400001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
12,2400001,2600001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
13,2600001,2800001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
14,2800001,3000001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
15,3000001,3200001,200000.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0
