window_id,start_cycle,end_cycle,start_inst,end_inst,hit_sram_rd,hit_sram_wr,hit_mram_rd,hit_mram_wr,miss_rd,miss_wr,sum_lat_miss,cover_time_miss,mlp_miss,sum_inflight_hits,hit_cover_cycles,mlp_hit
0,1,200001,0,0,0,193,0,375,10092,0,18739,17618,1.063628,0,0,1.000000
1,200001,400001,0,0,0,1579,2,1378,10198,0,19120,18009,1.061691,0,0,1.000000
2,400001,600001,0,0,0,1703,1,1386,10290,0,19343,18095,1.068969,0,0,1.000000
3,600001,800001,0,0,0,582,0,559,4265,0,260801,119926,2.174683,2380,2380,1.000000
4,800001,1000001,0,0,0,167,0,264,1763,0,357552,158341,2.258114,4310,4310,1.000000
5,1000001,1200001,0,0,0,194,0,145,1742,0,355352,157440,2.257063,3390,3390,1.000000
6,1200001,1400001,0,0,0,166,0,223,1740,0,359554,156560,2.296589,3890,3890,1.000000
7,1400001,1600001,0,0,0,150,0,139,1626,0,359596,160599,2.239092,2890,2890,1.000000
8,1600001,1800001,0,0,0,143,0,170,1619,0,349230,161828,2.158032,3130,3130,1.000000
9,1800001,2000001,0,0,0,201,0,135,1714,0,357014,158204,2.256669,3360,3360,1.000000
10,2000001,2200001,0,0,0,48,1,168,1600,0,355949,161162,2.208641,2170,2170,1.000000
11,2200001,2400001,0,0,0,106,0,166,1646,0,362134,160547,2.255626,2720,2720,1.000000
12,2400001,2600001,0,0,0,143,0,219,1686,0,368933,159326,2.315586,3620,3620,1.000000
13,2600001,2800001,0,0,0,157,0,127,1668,0,353106,159503,2.213789,2840,2840,1.000000
14,2800001,3000001,0,0,0,153,0,81,1704,0,365330,158822,2.300248,2340,2340,1.000000
15,3000001,3200001,0,0,0,106,0,75,1698,0,359356,160592,2.237696,1810,1810,1.000000
16,3200001,3400001,0,0,0,92,0,221,1707,0,368937,158443,2.328516,3130,3130,1.000000
17,3400001,3600001,0,0,0,69,0,140,1721,0,354143,158231,2.238139,2090,2090,1.000000
18,3600001,3800001,0,0,0,106,0,140,1735,0,365376,158535,2.304702,2460,2460,1.000000
19,3800001,4000001,0,0,0,184,0,62,1640,0,385641,159960,2.410859,2460,2460,1.000000
20,4000001,4200001,0,0,0,146,0,130,1631,0,357624,159601,2.240738,2760,2760,1.000000
21,4200001,4400001,0,0,0,218,0,124,1705,0,367560,159261,2.307910,3420,3420,1.000000
22,4400001,4600001,0,0,0,126,0,241,1666,0,366082,158648,2.307511,3670,3670,1.000000
23,4600001,4800001,0,0,0,80,0,247,1620,0,364768,161176,2.263166,3270,3270,1.000000
24,4800001,5000001,0,0,0,161,0,219,1667,0,360736,159022,2.268466,3800,3800,1.000000
25,5000001,5200001,0,0,0,167,0,128,1600,0,364286,162404,2.243085,2950,2950,1.000000
26,5200001,5400001,0,0,0,119,0,125,1627,0,377311,160807,2.346359,2440,2440,1.000000
27,5400001,5600001,0,0,0,219,0,206,1640,0,366760,159419,2.300604,4250,4250,1.000000
28,5600001,5800001,0,0,0,262,0,144,1636,0,369041,161438,2.285961,4060,4060,1.000000
29,5800001,6000001,0,0,0,134,0,148,1715,0,375350,158974,2.361078,2820,2820,1.000000
30,6000001,6200001,0,0,0,115,0,169,1634,0,355884,160533,2.216890,2840,2840,1.000000
31,6200001,6400001,0,0,0,115,0,170,1612,0,362067,163585,2.213326,2850,2850,1.000000
32,6400001,6600001,0,0,0,212,0,175,1765,0,373885,157843,2.368714,3870,3870,1.000000
33,6600001,6800001,0,0,0,144,0,170,1612,0,368516,161443,2.282638,3140,3140,1.000000
34,6800001,7000001,0,0,0,207,0,163,1751,0,369453,157080,2.352005,3700,3700,1.000000
35,7000001,7200001,0,0,0,137,0,155,1633,0,366286,161427,2.269050,2920,2920,1.000000
36,7200001,7400001,0,0,0,227,0,219,1695,0,374464,158279,2.365848,4460,4460,1.000000
37,7400001,7600001,0,0,0,111,0,216,1683,0,357210,159295,2.242443,3270,3270,1.000000
38,7600001,7800001,0,0,0,118,0,210,1575,0,366134,163744,2.236015,3280,3280,1.000000
39,7800001,8000001,0,0,0,118,0,124,1756,0,374543,157626,2.376150,2420,2420,1.000000
40,8000001,8200001,0,0,0,162,0,105,1608,0,355218,160609,2.211694,2670,2670,1.000000
41,8200001,8400001,0,0,0,97,0,232,1664,0,366166,160382,2.283087,3290,3290,1.000000
42,8400001,8600001,0,0,0,130,0,183,1673,0,375235,159916,2.346451,3130,3130,1.000000
43,8600001,8800001,0,0,0,213,0,232,1606,0,362788,160472,2.260756,4447,4447,1.000000
44,8800001,9000001,0,0,0,133,0,106,1668,0,377153,160627,2.348005,202390,200000,1.011950
45,9000001,9200001,0,0,0,207,0,122,1644,0,368546,160225,2.300178,203290,200000,1.016450
46,9200001,9400001,0,0,0,163,0,112,1592,0,366785,160722,2.282108,202750,200000,1.013750
47,9400001,9600001,0,0,0,198,0,159,1722,0,371911,158204,2.350832,203570,200000,1.017850
48,9600001,9800001,0,0,0,117,0,139,1675,0,363497,161352,2.252820,202560,200000,1.012800
49,9800001,10000001,0,0,0,199,0,243,1706,0,381907,158549,2.408763,204420,200000,1.022100
50,10000001,10200001,0,0,0,128,0,119,1640,0,357752,160831,2.224397,202462,200000,1.012310
51,10200001,10400001,0,0,0,255,0,160,1691,0,360114,159112,2.263274,404150,200000,2.020750
52,10400001,10600001,0,0,0,195,0,181,1720,0,373548,158665,2.354319,403760,200000,2.018800
