window_id,start_cycle,end_cycle,start_inst,end_inst,hit_sram_rd,hit_sram_wr,hit_mram_rd,hit_mram_wr,miss_rd,miss_wr,sum_lat_miss,cover_time_miss,mlp_miss,sum_inflight_hits,hit_cover_cycles,mlp_hit
0,1,200001,0,0,0,0,0,0,2051,0,3720,3411,1.090589,0,0,1.000000
1,200001,400001,0,0,0,1,0,2,1443,0,2455,2374,1.034120,0,0,1.000000
2,400001,600001,0,0,3,6,2,10,920,0,1575,1529,1.030085,0,0,1.000000
3,600001,800001,0,0,4,88,2,65,2289,0,46433,33024,1.406038,260,260,1.000000
4,800001,1000001,0,0,2,43,3,42,644,0,118375,91026,1.300453,900,900,1.000000
5,1000001,1200001,0,0,5,33,6,36,488,0,85591,66446,1.288129,800,769,1.040312
6,1200001,1400001,0,0,2,71,5,77,593,0,105618,80258,1.315981,1550,1543,1.004537
7,1400001,1600001,0,0,5,86,4,90,712,0,128383,96253,1.333808,1850,1850,1.000000
8,1600001,1800001,0,0,30,88,25,105,568,0,99351,76566,1.297586,2480,2440,1.016393
9,1800001,2000001,0,0,56,71,53,101,430,0,73966,60438,1.223833,2810,2775,1.012613
10,2000001,2200001,0,0,27,102,30,98,597,0,104120,79145,1.315560,2570,2542,1.011015
11,2200001,2400001,0,0,8,49,20,53,346,0,58227,50217,1.159508,1300,1300,1.000000
12,2400001,2600001,0,0,19,88,14,88,476,0,82610,66350,1.245064,2090,2067,1.011127
13,2600001,2800001,0,0,12,133,14,173,855,0,141823,114729,1.236157,3320,3320,1.000000
14,2800001,3000001,0,0,59,122,47,149,681,0,122824,96378,1.274399,3770,3733,1.009912
15,3000001,3200001,0,0,39,138,52,121,640,0,115131,89302,1.289232,3500,3461,1.011268
16,3200001,3400001,0,0,64,134,65,142,573,0,100890,78564,1.284176,4050,3996,1.013514
17,3400001,3600001,0,0,71,154,79,141,579,0,101463,85310,1.189345,4450,4400,1.011364
18,3600001,3800001,0,0,75,99,65,73,328,0,54250,44878,1.208833,3120,3002,1.039307
19,3800001,4000001,0,0,66,113,79,124,460,0,80925,64868,1.247533,3820,3700,1.032432
20,4000001,4200001,0,0,58,153,34,164,753,0,137628,104701,1.314486,4090,4049,1.010126
21,4200001,4400001,0,0,41,136,46,146,639,0,115252,93504,1.232589,3690,3670,1.005450
22,4400001,4600001,0,0,44,169,49,174,706,0,126579,102773,1.231637,4360,4307,1.012306
23,4600001,4800001,0,0,61,207,83,220,807,0,143846,121047,1.188348,5710,5676,1.005990
24,4800001,5000001,0,0,44,168,34,179,757,0,136462,116727,1.169070,4250,4243,1.001650
25,5000001,5200001,0,0,54,172,69,187,712,0,126687,110804,1.143343,4820,4804,1.003331
26,5200001,5400001,0,0,40,146,51,166,609,0,106873,94664,1.128972,4030,4023,1.001740
27,5400001,5600001,0,0,63,141,46,159,598,0,104598,92913,1.125763,4090,4072,1.004420
28,5600001,5800001,0,0,49,121,36,140,511,0,89446,80030,1.117656,3460,3460,1.000000
29,5800001,6000001,0,0,51,153,39,139,550,0,97793,86175,1.134819,3820,3805,1.003942
30,6000001,6200001,0,0,46,137,38,124,493,0,88269,78782,1.120421,3450,3431,1.005538
