window_id,start_cycle,end_cycle,win_cycles,A,M,miss_rate,acc_per_1kcyc,read_frac,mram_hit_frac,mlp_hit,mlp_miss,stall_per_1kcyc,mpkc,std5,std5_norm,wave_done
0,1,200001,200000.0,2051,2051,1.0,10.255,1.0,0.0,1.0,1.090589,1132.1423561029867,10.255,3.5300718831207956,0.4804780023303111,1
1,200001,400001,200000.0,1446,1443,0.9979253112033195,7.23,0.9979253112033195,0.6666666666666666,1.0,1.03412,840.4643685452367,7.215,3.5300718831207956,0.4804780023303111,1
2,400001,600001,200000.0,941,920,0.9776833156216791,4.705,0.9829968119022316,0.5714285714285714,1.0,1.030085,539.9843675036527,4.6,3.5300718831207956,0.4804780023303111,1
3,600001,800001,200000.0,2448,2289,0.9350490196078431,12.24,0.9375,0.42138364779874216,1.0,1.406038,994.4632136258056,11.445,3.6487316289362797,0.6308318860539903,1
4,800001,1000001,200000.0,734,644,0.8773841961852861,3.67,0.8841961852861036,0.5,1.0,1.300453,307.5376559245125,3.22,3.7262403975052383,0.7552169431506361,1
5,1000001,1200001,200000.0,568,488,0.8591549295774648,2.84,0.8785211267605634,0.525,1.040312,1.288129,236.02326541291063,2.44,3.7782095627426484,0.7994518753158376,1
6,1200001,1400001,200000.0,748,593,0.7927807486631016,3.74,0.8021390374331551,0.5290322580645161,1.004537,1.315981,288.4320093488745,2.965,0.4190167061108542,0.13943983564421106,1
7,1400001,1600001,200000.0,897,712,0.7937569676700111,4.485,0.8037904124860646,0.5081081081081081,1.0,1.333808,341.3935981190696,3.56,0.5380799197145247,0.19279108553010563,1
8,1600001,1800001,200000.0,816,568,0.696078431372549,4.08,0.7634803921568627,0.5241935483870968,1.016393,1.297586,287.7202594957107,2.84,0.5032767628253759,0.17354371131909516,1
9,1800001,2000001,200000.0,711,430,0.6047819971870605,3.555,0.7580872011251758,0.5480427046263345,1.012613,1.223833,236.59940717334212,2.15,0.7198576248120103,0.271337212518662,1
10,2000001,2200001,200000.0,854,597,0.6990632318501171,4.27,0.765807962529274,0.4980544747081712,1.011015,1.31556,296.2925768220832,2.985,0.5114147045206937,0.21159069280955473,1
11,2200001,2400001,200000.0,476,346,0.726890756302521,2.38,0.7857142857142857,0.5615384615384615,1.0,1.159508,192.49826036560336,1.73,0.9883787229599743,0.3655246756508781,1
12,2400001,2600001,200000.0,685,476,0.6948905109489051,3.425,0.743065693430657,0.4880382775119617,1.011127,1.245064,250.12812601309176,2.38,0.9717317016543149,0.32884321544985273,1
13,2600001,2800001,200000.0,1187,855,0.7203032855939343,5.935,0.7422072451558551,0.5632530120481928,1.0,1.236157,455.2791492504593,4.275,0.9781270367390887,0.32625985214779474,1
14,2800001,3000001,200000.0,1058,681,0.6436672967863895,5.29,0.7438563327032136,0.519893899204244,1.009912,1.274399,356.9410556728806,3.405,0.7034113305882917,0.21811204049249355,1
15,3000001,3200001,200000.0,990,640,0.6464646464646465,4.95,0.7383838383838384,0.4942857142857143,1.011268,1.289232,328.2532070708741,3.2,0.5746694702174385,0.17267712446437455,1
16,3200001,3400001,200000.0,978,573,0.5858895705521472,4.89,0.7177914110429447,0.5111111111111111,1.013514,1.284176,303.28416354650466,2.865,0.6864528388753228,0.245074201669162,1
17,3400001,3600001,200000.0,1024,579,0.5654296875,5.12,0.7119140625,0.4943820224719101,1.011364,1.189345,328.42538198039654,2.895,0.6178288597985605,0.23946855030951958,1
18,3600001,3800001,200000.0,640,328,0.5125,3.2,0.73125,0.4423076923076923,1.039307,1.208833,182.54942131798072,1.64,0.7878499222567644,0.29255474276151666,1
19,3800001,4000001,200000.0,842,460,0.5463182897862233,4.21,0.7185273159144893,0.5314136125654451,1.032432,1.247533,252.9882371760696,2.3,0.8190650157343982,0.2968702485445445,1
20,4000001,4200001,200000.0,1162,753,0.6480206540447504,5.81,0.7271944922547332,0.4841075794621027,1.010126,1.314486,382.592052716353,3.765,0.8914552708913612,0.3088895602534169,1
21,4200001,4400001,200000.0,1008,639,0.6339285714285714,5.04,0.7202380952380952,0.5203252032520326,1.00545,1.232589,346.7803656777567,3.195,0.6706806244405691,0.19931073534638014,1
22,4400001,4600001,200000.0,1142,706,0.6182136602451839,5.71,0.6996497373029772,0.5114678899082569,1.012306,1.231637,385.7978608303185,3.53,0.31637793854817425,0.08639484941239056,1
23,4600001,4800001,200000.0,1378,807,0.5856313497822931,6.89,0.6901306240928883,0.5306479859894921,1.00599,1.188348,461.8767473411772,4.035,0.31295766486857646,0.0864285183287977,1
24,4800001,5000001,200000.0,1182,757,0.6404399323181049,5.91,0.7064297800338409,0.5011764705882353,1.00165,1.16907,431.1607630536374,3.785,0.36659582649014455,0.10208739250630593,1
25,5000001,5200001,200000.0,1194,712,0.5963149078726968,5.97,0.6993299832495813,0.5311203319502075,1.003331,1.143343,420.0162993820248,3.56,0.4573647341017801,0.1313134464834281,1
26,5200001,5400001,200000.0,1012,609,0.6017786561264822,5.06,0.691699604743083,0.5384615384615384,1.00174,1.128972,364.2473820555157,3.045,0.48865376290374735,0.15332719262747013,1
27,5400001,5600001,200000.0,1007,598,0.5938430983118173,5.035,0.702085402184707,0.5012224938875306,1.00442,1.125763,357.35348609790907,2.99,0.37889642384165034,0.12714645095357394,1
28,5600001,5800001,200000.0,857,511,0.5962660443407235,4.285,0.6954492415402567,0.5086705202312138,1.0,1.117656,308.1985349338258,2.555,0.25654921555130766,0.0929189480446605,1
29,5800001,6000001,200000.0,932,550,0.5901287553648069,4.66,0.6866952789699571,0.46596858638743455,1.003942,1.134819,324.55532867881243,2.75,0.25654921555130766,0.0929189480446605,1
30,6000001,6200001,200000.0,838,493,0.5883054892601431,4.19,0.6885441527446301,0.46956521739130436,1.005538,1.120421,294.2851288347021,2.465,0.25654921555130766,0.0929189480446605,1
