window_id,start_cycle,end_cycle,start_inst,end_inst,hit_sram_rd,hit_sram_wr,hit_mram_rd,hit_mram_wr,miss_rd,miss_wr,sum_lat_miss,cover_time_miss,mlp_miss,sum_inflight_hits,hit_cover_cycles,mlp_hit
0,1,200001,0,0,0,160,0,382,10092,0,18739,17618,1.063628,0,0,1.000000
1,200001,400001,0,0,0,689,2,1490,10198,0,19120,18009,1.061691,0,0,1.000000
2,400001,600001,0,0,0,1157,1,532,10290,0,19343,18095,1.068969,0,0,1.000000
3,600001,657203,0,0,0,293,0,14,3042,0,5810,5441,1.067818,0,0,1.000000
4,657203,800001,0,0,0,14,0,9,1188,0,255694,115201,2.219547,230,230,1.000000
5,800001,1000001,0,0,0,86,0,1,1709,0,352245,159447,2.209167,870,870,1.000000
6,1000001,1200001,0,0,0,110,0,10,1688,0,364424,158824,2.294515,1200,1200,1.000000
7,1200001,1400001,0,0,0,130,0,0,1731,0,361279,156330,2.311002,1300,1300,1.000000
8,1400001,1600001,0,0,0,305,0,0,1693,0,360521,159022,2.267114,3050,3050,1.000000
9,1600001,1800001,0,0,0,131,0,2,1600,0,350459,162663,2.154510,1330,1330,1.000000
10,1800001,2000001,0,0,0,192,0,2,1686,0,356668,158430,2.251266,1940,1940,1.000000
11,2000001,2200001,0,0,0,33,1,0,1612,0,358750,160309,2.237866,340,340,1.000000
12,2200001,2400001,0,0,0,84,0,0,1675,0,362944,160273,2.264536,840,840,1.000000
13,2400001,2600001,0,0,0,170,0,2,1630,0,390917,160177,2.440531,1720,1720,1.000000
14,2600001,2800001,0,0,0,205,0,0,1655,0,350008,159342,2.196583,2050,2050,1.000000
15,2800001,3000001,0,0,0,189,0,0,1709,0,359167,159322,2.254347,1890,1890,1.000000
16,3000001,3200001,0,0,0,81,0,0,1726,0,363085,159812,2.271951,810,810,1.000000
17,3200001,3400001,0,0,0,104,0,5,1763,0,353585,156914,2.253368,1090,1090,1.000000
18,3400001,3600001,0,0,0,44,0,0,1713,0,356214,158696,2.244631,440,440,1.000000
19,3600001,3800001,0,0,0,94,0,2,1719,0,364442,158794,2.295062,960,960,1.000000
20,3800001,4000001,0,0,0,152,0,2,1703,0,372252,158396,2.350135,1540,1540,1.000000
21,4000001,4200001,0,0,0,159,0,3,1664,0,347194,158515,2.190291,1620,1620,1.000000
22,4200001,4400001,0,0,0,166,0,17,1801,0,364370,156441,2.329121,1830,1830,1.000000
